estimated_time,scrape_time,user,action,time_ago_raw
2026-01-21T23:17:00.000Z,2026-01-22T00:17:18.281Z,angelina,joined this cuckoo,1 hours ago
2026-01-21T23:18:00.000Z,2026-01-22T00:17:18.281Z,Tess,joined this cuckoo,59 min ago
2026-01-21T23:19:00.000Z,2026-01-22T00:17:18.281Z,angelina,started a 25 minute work session,58 min ago
2026-01-21T23:21:00.000Z,2026-01-22T00:17:18.281Z,Cian,joined this cuckoo,56 min ago
2026-01-21T23:44:00.000Z,2026-01-22T00:17:18.281Z,angelina,started a 5 minute break,33 min ago
2026-01-21T23:49:00.000Z,2026-01-22T00:17:18.281Z,angelina,started a 25 minute work session,28 min ago
2026-01-22T00:10:00.000Z,2026-01-22T00:17:18.281Z,angelina,joined this cuckoo,7 min ago
2026-01-22T00:15:00.000Z,2026-01-22T00:17:18.281Z,angelina,started a 5 minute break,2 min ago
2026-01-21T23:55:00.000Z,2026-01-22T00:55:36.767Z,angelina,started a 5 minute break,1 hours ago
2026-01-22T00:18:00.000Z,2026-01-22T00:55:36.767Z,Tess,joined this cuckoo,37 min ago
2026-01-22T00:20:00.000Z,2026-01-22T00:55:36.767Z,angelina,started a 25 minute work session,35 min ago
2026-01-22T00:45:00.000Z,2026-01-22T00:55:36.767Z,angelina,started a 5 minute break,10 min ago
2026-01-22T00:50:00.000Z,2026-01-22T00:55:36.767Z,angelina,started a 25 minute work session,5 min ago
2026-01-22T00:01:00.000Z,2026-01-22T01:01:10.099Z,Cian,joined this cuckoo,1 hours ago
2026-01-22T01:01:00.000Z,2026-01-22T01:14:12.865Z,Tess,joined this cuckoo,13 min ago
2026-01-22T08:24:00.000Z,2026-01-22T08:47:38.744Z,Joris,joined this cuckoo,23 min ago
2026-01-22T08:24:00.000Z,2026-01-22T08:47:38.744Z,Izzy,joined this cuckoo,23 min ago
2026-01-22T08:26:00.000Z,2026-01-22T08:47:38.744Z,Izzy,started a 25 minute work session,21 min ago
2026-01-22T08:52:00.000Z,2026-01-22T09:51:32.048Z,Joris,started a 5 minute break,59 min ago
2026-01-22T08:58:00.000Z,2026-01-22T09:51:32.048Z,Joris,started a 25 minute work session,53 min ago
2026-01-22T09:24:00.000Z,2026-01-22T09:51:32.048Z,Joris,started a 5 minute break,27 min ago
2026-01-22T09:26:00.000Z,2026-01-22T09:51:32.048Z,Joris,paused the current break,25 min ago
2026-01-22T09:26:00.000Z,2026-01-22T09:51:32.048Z,Joris,stopped the current break,25 min ago
2026-01-22T09:26:00.000Z,2026-01-22T09:51:32.048Z,Joris,skipped the break,25 min ago
2026-01-22T09:26:00.000Z,2026-01-22T09:51:32.048Z,Joris,started a 15 minute work session,25 min ago
2026-01-22T09:42:00.000Z,2026-01-22T09:51:32.048Z,Joris,started a 5 minute break,9 min ago
2026-01-22T09:50:00.000Z,2026-01-22T09:51:32.048Z,Joris,started a 15 minute work session,1 min ago
2026-01-22T17:01:00.000Z,2026-01-22T17:19:03.907Z,Jessica,joined this cuckoo,18 min ago
2026-01-22T17:02:00.000Z,2026-01-22T17:19:03.907Z,j,joined this cuckoo,17 min ago
2026-01-22T17:02:00.000Z,2026-01-22T17:19:03.907Z,j,started a 25 minute work session,17 min ago
2026-01-22T17:18:00.000Z,2026-01-22T17:19:03.907Z,Joris,joined this cuckoo,5 sec ago
2026-01-22T17:55:00.000Z,2026-01-22T18:55:41.467Z,Jessica,started a 5 minute break,1 hours ago
2026-01-22T17:55:00.000Z,2026-01-22T18:55:41.467Z,Jessica,started a 25 minute work session,1 hours ago
2026-01-22T17:57:00.000Z,2026-01-22T18:55:41.467Z,Jessica,started a 5 minute break,58 min ago
2026-01-22T18:02:00.000Z,2026-01-22T18:55:41.467Z,Jessica,started a 25 minute work session,53 min ago
2026-01-22T18:06:00.000Z,2026-01-22T18:55:41.467Z,Joris,joined this cuckoo,49 min ago
2026-01-22T18:27:00.000Z,2026-01-22T18:55:41.467Z,Joris,started a 5 minute break,28 min ago
2026-01-22T18:33:00.000Z,2026-01-22T18:55:41.467Z,Jessica,started a 25 minute work session,22 min ago
2026-01-22T18:55:00.000Z,2026-01-22T18:55:41.467Z,Alex,joined this cuckoo,15 sec ago
2026-01-22T19:58:00.000Z,2026-01-22T19:59:03.778Z,Tess,joined this cuckoo,4 sec ago
2026-01-22T19:59:00.000Z,2026-01-22T19:59:03.778Z,Tess,started a 25 minute work session,just now
2026-01-22T20:02:00.000Z,2026-01-22T20:38:10.600Z,angelina,joined this cuckoo,36 min ago
2026-01-22T20:23:00.000Z,2026-01-22T20:38:10.600Z,angelina,started a 5 minute break,15 min ago
2026-01-22T20:30:00.000Z,2026-01-22T20:38:10.600Z,angelina,started a 25 minute work session,8 min ago
